date;customer_id;order_id;store_id;store_name;total;discount;order_shipping;sector;city;store_category
10/15/2020;21;A1;198;Helios. ;18,46;1,35;5;Secedes;Ciudad de México;Postres
10/29/2020;21;A2;198;Helios. ;18,46;1,35;5;Secares;Ciudad de México;Postres
11/11/2020;21;A3;157;Mundo.;31,87;2,29;9;Secillo;Ciudad de México;Congelados
9/25/2020;60;A4;169;Hotel California.;65,37;0;9;Secindo;Tijuana;Supermercado
8/14/2020;88;A5;53;Capital.;80,78;0,01;0;Secmero;Ecatepec de Morelos;Supermercado
10/6/2020;88;A6;102;El Gran.;74,07;0;0;Secmero;Ecatepec de Morelos;Supermercado
11/10/2020;88;A7;11;Rosa de Oro. ;83,89;83,89;0;Secmero;Ecatepec de Morelos;Supermercado
11/26/2020;88;A8;11;Rosa de Oro. ;62,56;0,42;0;Secmero;Ecatepec de Morelos;Supermercado
9/17/2020;89;A9;8;Waikiki. ;130,55;5;4,99;Secisco;León;Supermercado
10/1/2020;89;A10;8;Waikiki. ;134,38;5;4,99;Secisco;León;Supermercado
10/15/2020;89;A11;8;Waikiki. ;122,82;5;0;Secisco;León;Supermercado
10/29/2020;89;A12;8;Waikiki. ;121,9;5;0;Secisco;León;Supermercado
11/15/2020;89;A13;8;Waikiki. ;127,83;5;0;Secisco;León;Supermercado
11/27/2020;89;A14;8;Waikiki. ;118,26;5;0;Secisco;León;Supermercado
8/18/2020;110;A15;108;La Terraza.;22,89;0;4,99;No encuentro mi sector;Ecatepec de Morelos;Bodegón
10/29/2020;110;A16;11;Rosa de Oro. ;44,41;0;9;No encuentro mi sector;Ecatepec de Morelos;Supermercado
8/17/2020;136;A17;142;Mirum. ;20,75;0;4,99;Secrros;Ciudad de México;Farmacia
10/14/2020;136;A18;176;Delfines. ;78,72;0;5;Secrros;Ciudad de México;Regalos
10/25/2020;136;A19;27;Escualos. ;211,98;0;4;Secrros;Ciudad de México;Supermercado
8/27/2020;162;A20;144;Coco Bar.;100,35;0;0;Secpuro;Puebla de Zaragoza;Supermercado
9/2/2020;170;A21;53;Capital.;27,79;0;8,99;Secjada;Ciudad Juárez;Supermercado
9/3/2020;170;A22;149;Mister ;34,35;0;8,99;Secjada;Ciudad Juárez;Supermercado
11/22/2020;283;A23;126;Dulce.;15,92;0;4,99;Seclaro;Guadalajara;Supermercado
8/31/2020;354;A24;8;Waikiki. ;101,84;0;0;Secingo;León;Supermercado
10/1/2020;354;A25;8;Waikiki. ;108,13;0;4,99;Secingo;León;Supermercado
11/13/2020;354;A26;8;Waikiki. ;109,57;0;0;Secingo;León;Supermercado
9/27/2020;359;A27;90;Chococrema.;64,69;0;4,99;Secnión;Zapopan;Carniceria
8/28/2020;462;A28;106;Rosazul.;81,04;0;4,99;Secqués;Ciudad de México;Bodegón
9/7/2020;462;A29;145;super-villas;37,13;0;8,99;Secqués;Ciudad de México;Farmacia
